STREET_ADDRESS
"['1122 Megan Squares Suite 848\nPort Jason, TX 77807']"
"['523 Dana Lane\nJohnsonshire, MT 87296', '1427 Odonnell Rapids\nNorth Troyport, MP 61697']"
"['8847 Kramer Station\nSouth Christopher, IN 34699']"
"['634 Petersen Orchard\nLawsonbury, PR 03185']"
"['4183 Kimberly Mills\nKatherinemouth, MI 83340']"
"['2035 Candace Divide Apt. 031\nWest Miketown, PA 31022']"
"['5825 Welch Corners\nFischerport, AL 92119']"
"['0742 Williams Road Apt. 057\nOnealtown, PR 69553']"
"['7088 Carpenter Overpass Suite 735\nBobbyton, GA 46350']"
"['63340 Trevino Crossing\nBrewerville, WA 74513']"
"['0305 Matthew Mill Apt. 452\nAndreshire, ND 08127']"
"['58235 Smith Street\nNew Patricia, KY 24767']"
"['4487 Katherine Mission Apt. 092\nPort Leslieland, ID 85488', '8252 Ingram Centers\nPort Zacharytown, GU 10985']"
['USS Howard\nFPO AE 03933']
"['34523 Perez Wells\nFordshire, DC 51161', '90622 Anthony Islands\nNorth Brandonville, OK 80648']"
"['42954 Walters Highway\nJohnsonchester, KY 49674', '21952 Russell Locks Suite 116\nEast Eric, GA 30418']"
"['751 Wood Square Suite 732\nPort Melissaburgh, AK 84808']"
"['6968 Joseph Forks\nWest Donaldville, DC 86803']"
"['74172 Cantu Summit Apt. 573\nLake Patrickfurt, NH 67810']"
"['PSC 3667, Box 0636\nAPO AE 81210']"
"['64619 Wilkins Wall Apt. 735\nRowechester, AK 59090', '673 Allen Neck\nThomasmouth, LA 47683', '134 Sophia Drives\nBenjaminburgh, WI 61921']"
"['6154 Jensen Route Apt. 880\nZacharytown, GA 65441', '2519 Moses Trace Apt. 491\nPort Yolandaberg, NM 05043']"
"['345 Preston Station Apt. 652\nEast Jasminfort, MS 04512']"
"['7103 Melissa Underpass\nPort Morganburgh, RI 23253', 'PSC 5940, Box 0092\nAPO AA 31451', '551 Casey Squares Apt. 209\nMichaelborough, VI 50826', '72998 Willis Wall\nNorth Brian, MH 79731']"
"['621 Mary Summit\nPhillipsville, TX 56307']"
"['392 Barbara Heights\nJohnnyfurt, TX 01679']"
"['26852 Douglas Bypass\nNewmanville, TN 09428']"
"['52498 Parker Mall\nBrooksland, VA 11010']"
"['241 Conner Street Apt. 023\nSouth Davidfort, ND 05883', '275 Hall Run\nEmmaborough, CT 46350']"
"['71318 Cassandra Plaza\nBurkeview, TX 62280', '5303 Lewis Springs\nPort Adrian, IA 59973']"
"['296 Figueroa Crescent\nEast Scott, PR 70785']"
"['982 Santos Road\nNorth Jeremy, VT 79284']"
"['67048 Mcdonald Ville Apt. 204\nPort Paulview, ID 64044']"
"['08673 Walsh Court\nBrownport, PA 22838', '502 Christopher Terrace\nShaunborough, IA 49585']"
"['634 Perez Rue\nJacobtown, OR 55672']"
"['76775 James Ford\nSouth Victorialand, VA 68528']"
"['1920 Laura Club\nNew Kimberlyville, ID 13622', 'USCGC Miller\nFPO AA 94561']"
"['83787 Stuart Key\nDavetown, MT 48169']"
"['677 John Island Suite 446\nSouth Sharonhaven, NY 27108']"
"['2822 Sarah Fields\nNorth Tracyland, OK 69122', '294 Kevin Curve Suite 505\nNorth Claudiaville, ME 86663']"
"['116 Blake Inlet Suite 034\nEast Melanie, GA 62791']"
['USS Martinez\nFPO AA 57413']
[]
"['59839 Kathryn Port Suite 941\nSouth Mary, CT 98681', 'PSC 2244, Box 5275\nAPO AP 13613']"
"['24549 Tracy Mills Apt. 952\nAguirreport, PR 23884']"
"['95422 Gonzalez Crest Suite 624\nJenniferburgh, VI 53680']"
"['63697 Hess Extensions Suite 810\nPort Christopherfurt, MS 78849', '810 Ralph Via\nGeorgefurt, AK 88376']"
"['08379 Chan Wall Apt. 394\nWest Elizabeth, UT 35640']"
"['211 Hall Road Apt. 694\nNew Brandonchester, NC 48706']"
"['8539 Green Tunnel Apt. 720\nSouth Sarahview, WV 44380']"
"['857 John Streets Apt. 312\nNorth Carolineland, OR 95728']"
